state,capital_disbursement,maintenance_disbursement,admin_disbursement,total_disbursement,coli_index,urban_dvmt_index
Alabama,1235581.1567672896,182425.88629198374,299636.83757743274,1951533.3582463919,0.879,1.1231629686154008
Alaska,1419530.1516288163,490656.984901314,84355.42215635911,2142934.348711353,1.271,0.5407239847066722
Arizona,1314229.9258925102,154247.0191593531,214317.68878879727,2060823.2165498408,1.032,1.0467171481168291
Arkansas,1379571.0759683757,311181.6712541533,58806.09141013924,2019849.0754461698,0.909,0.6667166455011155
California,2654317.307206185,1370896.9853645517,341233.9018781036,6344667.163759378,1.422,1.7006135580493953
Colorado,1156464.386757331,587861.5037243108,245133.51902700623,2136064.518216535,1.053,0.9090474484456369
Connecticut,349285.7842758857,100275.11285833736,29934.69519186514,761490.695971268,1.216,2.6569503878433984
Delaware,311058.53778774926,236647.01329997365,187899.25708528174,935813.7383599218,1.079,1.9024875645876158
Florida,2849979.717486424,654881.8509146081,197192.8837746489,4766255.081468865,1.003,2.2841341501690913
Georgia,1143733.8165076238,450922.6005455019,353838.213346738,2417089.4051507753,0.888,1.3680263514264732
Hawaii,111713.18559211888,27624.16221268641,8623.761018182007,176923.59932841227,1.933,2.175848792706419
Idaho,1459954.8942338708,273190.37484043615,78576.37429932455,2041925.1650219962,1.021,0.41298673156364957
Illinois,2040558.4426400394,602373.5818290586,116175.95814371147,3377311.6527345497,0.943,1.5417475600109378
Indiana,1569794.1748787763,928506.7543345102,108042.85757799333,2733765.5099723265,0.9059999999999999,0.9899960293329608
Iowa,1693512.0954913916,380174.33942804806,115445.91775583962,2432552.1641199095,0.899,0.5972233695245793
Kansas,1001117.7964268691,430860.31206779805,181407.894308392,2710576.431885136,0.865,0.4452672818233761
Kentucky,2452669.5263856016,923541.7578793721,65254.12926564954,4273298.614154307,0.9309999999999999,0.5272463273540476
Louisiana,886092.6232101476,433595.28049771994,53736.37648858737,1630681.586761788,0.93,1.0007373685015968
Maine,1012179.4332482365,523080.4437902236,47454.56188411554,1790022.957238994,1.15,0.4804385309820236
Maryland,725819.51661261,200954.6736350483,56722.247723674634,1522377.3662175166,1.24,2.0945220749849263
Massachusetts,285006.66044818005,101656.42008706385,54402.03050268622,1075010.0007787163,1.35,3.079057866998714
Michigan,984090.2945455925,256654.5610377618,86121.62006679422,1715173.4475265185,0.9129999999999999,1.4769345943718815
Minnesota,1668794.0262899979,778349.7293998477,252424.23002760654,3280352.868794003,1,0.7176529764206395
Mississippi,1159366.978704309,203348.26044886163,98885.45598466217,1687099.6511174822,0.833,0.6112223420335425
Missouri,1562395.5910481329,995876.7356154443,354182.9469824089,4186882.0889090835,0.898,0.5153579571098484
Montana,2412308.1690187724,613152.7671623328,201496.2388257423,3579357.6222352404,1.0070000000000001,0.21906612380082172
Nebraska,1627309.042766012,756662.0560555244,64625.11435982456,2746212.3142286497,0.937,0.29714454187392375
Nevada,928586.88324218,210152.925242556,247282.79269701635,1635232.279768105,1.063,0.7436870070669455
New Hampshire,367677.01193414355,148466.15374662768,147262.75611800005,807337.1240791277,1.099,0.7428965943862831
New Jersey,926054.5189487697,233451.15530431987,54686.55300300198,3059585.7257538787,1.1520000000000001,3.180087068030297
New Mexico,1047929.0719319329,126932.87075250699,755938.7016446422,2346727.347311182,0.91,0.4154794553006546
New York,2488053.2209401038,1213421.7577226183,293697.28332983615,9038922.125625418,1.482,1.582755532259895
North Carolina,4696452.036582585,1233976.4192584548,363335.1475552391,6923621.114382913,0.9570000000000001,1.0314856752002548
North Dakota,2068950.9069278848,170118.39649084012,111583.15250113475,2553623.3869625023,0.982,0.18187333432610822
Ohio,1430608.3045956367,348537.8819084129,444725.1948046691,2897515.8317718203,0.9129999999999999,1.377302224284886
Oklahoma,2178612.5728868614,1126290.6228792532,396085.4554657994,4316691.030684843,0.879,0.6242642757715455
Oregon,1206441.2768567605,380800.17467248446,208757.94922022283,2611795.6092441585,1.301,0.766183997291853
Pennsylvania,3273910.4520501797,1539460.4795157216,810607.2895824984,7746543.3814625405,1.025,1.165898718338401
Rhode Island,140931.11266378374,44881.52925320425,14110.644195946164,249915.88201260433,1.172,2.526674154978886
South Carolina,1735662.1964686534,351302.6661230767,115495.69248259185,2268965.8411755124,0.9359999999999999,1.0964391595737388
South Dakota,1245639.5549401205,499469.5184184435,575386.3322004887,2512767.007662548,1.01,0.19741344839665195
Tennessee,907347.9967565777,312452.6422519849,182112.149614004,1428877.144924426,0.89,1.292039001783911
Texas,10076409.403507167,2200876.5333486376,452619.0583628954,15570466.306493634,0.9209999999999999,0.9549531598677223
Utah,858169.0939668439,235999.1514178963,61674.35716063781,1533264.6615453404,0.99,1.0941013916731381
Vermont,468137.01652801275,281732.91834187025,195122.5385672186,1136375.449559875,1.17,0.41635887169442976
Virginia,1732137.9189565028,2003258.9288626278,541661.2475733774,5091998.153821895,1.018,0.8833066831778199
Washington,1567151.4459858423,909385.5254575171,259449.4392697042,3244564.0257326164,1.1159999999999999,1.15315338835244
West Virginia,2015990.6560150937,740730.9150697598,146500.88647640237,3283732.139847089,0.905,0.4518334434151168
Wisconsin,1495675.8851972162,377676.7487104075,194668.80297940233,2742777.2926334864,0.9640000000000001,0.9257466899771722
Wyoming,1106527.5588517208,314580.68098812806,124634.18519086382,1668738.5541721426,0.943,0.3382057654202076
