"","state","overall_score_rank_28","overall_score_rank_29","overall_score_rank_diff"
"1","Alabama",17,11,-6
"2","Alaska",50,50,0
"3","Arizona",29,42,13
"4","Arkansas",28,25,-3
"5","California",49,49,0
"6","Colorado",43,43,0
"7","Connecticut",13,8,-5
"8","Delaware",41,37,-4
"9","Florida",14,15,1
"10","Georgia",6,7,1
"11","Hawaii",48,46,-2
"12","Idaho",15,29,14
"13","Illinois",36,36,0
"14","Indiana",20,21,1
"15","Iowa",31,27,-4
"16","Kansas",22,22,0
"17","Kentucky",11,16,5
"18","Louisiana",46,44,-2
"19","Maine",21,9,-12
"20","Maryland",32,35,3
"21","Massachusetts",40,18,-22
"22","Michigan",23,20,-3
"23","Minnesota",7,12,5
"24","Mississippi",18,26,8
"25","Missouri",9,4,-5
"26","Montana",16,24,8
"27","Nebraska",30,28,-2
"28","Nevada",24,30,6
"29","New Hampshire",19,10,-9
"30","New Jersey",34,39,5
"31","New Mexico",38,38,0
"32","New York",45,47,2
"33","North Carolina",1,3,2
"34","North Dakota",3,1,-2
"35","Ohio",10,6,-4
"36","Oklahoma",39,45,6
"37","Oregon",35,34,-1
"38","Pennsylvania",37,33,-4
"39","Rhode Island",42,41,-1
"40","South Carolina",2,5,3
"41","South Dakota",27,19,-8
"42","Tennessee",5,13,8
"43","Texas",25,31,6
"44","Utah",8,14,6
"45","Vermont",44,40,-4
"46","Virginia",4,2,-2
"47","Washington",47,48,1
"48","West Virginia",33,17,-16
"49","Wisconsin",26,32,6
"50","Wyoming",12,23,11
