state,metric,rank_29th,rank_30th,rank_change,movement
Illinois,admin_disbursement_perlm_score,27,19,-8,moved up
Alabama,admin_disbursement_perlm_score,41,34,-7,moved up
Ohio,admin_disbursement_perlm_score,30,23,-7,moved up
California,admin_disbursement_perlm_score,35,29,-6,moved up
Utah,admin_disbursement_perlm_score,20,14,-6,moved up
Hawaii,admin_disbursement_perlm_score,29,24,-5,moved up
New York,admin_disbursement_perlm_score,43,38,-5,moved up
Rhode Island,admin_disbursement_perlm_score,18,13,-5,moved up
Texas,admin_disbursement_perlm_score,37,32,-5,moved up
Connecticut,admin_disbursement_perlm_score,16,12,-4,moved up
Michigan,admin_disbursement_perlm_score,12,8,-4,moved up
Colorado,admin_disbursement_perlm_score,33,30,-3,moved up
Maryland,admin_disbursement_perlm_score,36,33,-3,moved up
Mississippi,admin_disbursement_perlm_score,8,5,-3,moved up
South Dakota,admin_disbursement_perlm_score,44,41,-3,moved up
Arizona,admin_disbursement_perlm_score,48,46,-2,moved up
Georgia,admin_disbursement_perlm_score,24,22,-2,moved up
New Mexico,admin_disbursement_perlm_score,47,45,-2,moved up
North Dakota,admin_disbursement_perlm_score,9,7,-2,moved up
Indiana,admin_disbursement_perlm_score,17,16,-1,moved up
Missouri,admin_disbursement_perlm_score,5,4,-1,moved up
Nevada,admin_disbursement_perlm_score,49,48,-1,moved up
New Hampshire,admin_disbursement_perlm_score,45,44,-1,moved up
South Carolina,admin_disbursement_perlm_score,4,3,-1,moved up
Vermont,admin_disbursement_perlm_score,50,49,-1,moved up
Kentucky,admin_disbursement_perlm_score,1,1,0,no change
Louisiana,admin_disbursement_perlm_score,2,2,0,no change
Nebraska,admin_disbursement_perlm_score,25,25,0,no change
New Jersey,admin_disbursement_perlm_score,31,31,0,no change
Oregon,admin_disbursement_perlm_score,40,40,0,no change
Delaware,admin_disbursement_perlm_score,46,47,1,moved down
Florida,admin_disbursement_perlm_score,19,20,1,moved down
Iowa,admin_disbursement_perlm_score,26,27,1,moved down
Oklahoma,admin_disbursement_perlm_score,42,43,1,moved down
Virginia,admin_disbursement_perlm_score,10,11,1,moved down
Kansas,admin_disbursement_perlm_score,34,36,2,moved down
Arkansas,admin_disbursement_perlm_score,6,9,3,moved down
North Carolina,admin_disbursement_perlm_score,3,6,3,moved down
West Virginia,admin_disbursement_perlm_score,7,10,3,moved down
Idaho,admin_disbursement_perlm_score,14,18,4,moved down
Maine,admin_disbursement_perlm_score,11,15,4,moved down
Massachusetts,admin_disbursement_perlm_score,38,42,4,moved down
Wyoming,admin_disbursement_perlm_score,13,17,4,moved down
Alaska,admin_disbursement_perlm_score,21,26,5,moved down
Pennsylvania,admin_disbursement_perlm_score,15,21,6,moved down
Wisconsin,admin_disbursement_perlm_score,22,28,6,moved down
Minnesota,admin_disbursement_perlm_score,32,39,7,moved down
Montana,admin_disbursement_perlm_score,28,35,7,moved down
Washington,admin_disbursement_perlm_score,39,50,11,moved down
Tennessee,admin_disbursement_perlm_score,23,37,14,moved down
New York,capital_disbursement_perlm_score,45,31,-14,moved up
Oregon,capital_disbursement_perlm_score,40,28,-12,moved up
Michigan,capital_disbursement_perlm_score,39,30,-9,moved up
Vermont,capital_disbursement_perlm_score,37,29,-8,moved up
Minnesota,capital_disbursement_perlm_score,32,25,-7,moved up
