state,metric,rank_29th,rank_30th,rank_change,movement,score_29th,score_30th,score_change
Oregon,overall_score,33,20,-13,moved up,1.009296240921843,0.8159547742171458,-0.1933414667046971
Florida,overall_score,14,4,-10,moved up,0.7228261760236764,0.5591142014605908,-0.16371197456308562
Kentucky,overall_score,15,6,-9,moved up,0.7696459208585147,0.5792321120344598,-0.1904138088240549
Arkansas,overall_score,21,13,-8,moved up,0.8625941706205821,0.6644939220863594,-0.1981002485342227
Mississippi,overall_score,24,17,-7,moved up,0.8909687023462364,0.7088355867760722,-0.1821331155701642
Alabama,overall_score,8,2,-6,moved up,0.6825848373053484,0.473126743259761,-0.20945809404558735
Idaho,overall_score,26,22,-4,moved up,0.9122115246331777,0.8467107385875292,-0.06550078604564846
Montana,overall_score,22,18,-4,moved up,0.8742636414642769,0.7745743753271712,-0.09968926613710571
Nebraska,overall_score,29,25,-4,moved up,0.9367050647257076,0.859283130622752,-0.07742193410295561
Nevada,overall_score,25,21,-4,moved up,0.9071532194071061,0.8337691175769002,-0.07338410183020594
Wyoming,overall_score,20,16,-4,moved up,0.8587923796638515,0.6862226813706762,-0.17256969829317526
New Mexico,overall_score,39,36,-3,moved up,1.104417982027729,1.10489873022502,4.807481972910477e-4
Oklahoma,overall_score,45,42,-3,moved up,1.313631322216053,1.31260317034068,-0.0010281518753729735
Rhode Island,overall_score,43,40,-3,moved up,1.300719857015386,1.255554207358071,-0.045165649657314955
Arizona,overall_score,41,39,-2,moved up,1.162169791266301,1.186907712370642,0.024737921104341032
Delaware,overall_score,32,30,-2,moved up,1.008905902891809,0.9647612009956837,-0.044144701896125293
Iowa,overall_score,35,33,-2,moved up,1.051615621729442,1.06223463584407,0.010619014114628067
Louisiana,overall_score,46,44,-2,moved up,1.33214940040161,1.342800154952021,0.01065075455041109
South Carolina,overall_score,3,1,-2,moved up,0.6359174730511762,0.4355165768892297,-0.2004008961619465
Utah,overall_score,10,8,-2,moved up,0.6975822511562948,0.6021493840283746,-0.0954328671279202
California,overall_score,49,48,-1,moved up,1.667791998494155,1.65733689118274,-0.010455107311414968
Pennsylvania,overall_score,36,35,-1,moved up,1.081657614997593,1.097762503514311,0.016104888516718097
South Dakota,overall_score,28,27,-1,moved up,0.9343016396417742,0.8952831998637082,-0.03901843977806596
Tennessee,overall_score,12,11,-1,moved up,0.7166949338757044,0.6453484324967789,-0.07134650137892551
Texas,overall_score,27,26,-1,moved up,0.9139704979442224,0.876725572858115,-0.03724492508610733
West Virginia,overall_score,30,29,-1,moved up,0.9434984405549147,0.9325714194860965,-0.010927021068818266
Alaska,overall_score,50,50,0,no change,1.983050965173927,2.482171286864272,0.49912032169034504
Illinois,overall_score,37,37,0,no change,1.084930675381897,1.114509803423374,0.029579128041477
Michigan,overall_score,23,23,0,no change,0.8885244874021663,0.8498971888632929,-0.03862729853887337
New York,overall_score,47,47,0,no change,1.449346554933054,1.59608740880763,0.14674085387457603
Georgia,overall_score,2,3,1,moved down,0.6235458315023327,0.5470423603079974,-0.07650347119433532
New Jersey,overall_score,40,41,1,moved down,1.144156058584136,1.297517633636079,0.15336157505194303
North Carolina,overall_score,4,5,1,moved down,0.6480142265591631,0.5598147303388533,-0.08819949622030976
North Dakota,overall_score,6,7,1,moved down,0.6761069244423078,0.5998378389308298,-0.07626908551147804
Washington,overall_score,48,49,1,moved down,1.51421924158728,2.05009969127741,0.5358804496901299
Hawaii,overall_score,44,46,2,moved down,1.301400563600637,1.570203652066729,0.26880308846609213
New Hampshire,overall_score,13,15,2,moved down,0.7170105071762545,0.6744714219098196,-0.042539085266434906
Colorado,overall_score,42,45,3,moved down,1.219971228079087,1.355715567150904,0.13574433907181693
Wisconsin,overall_score,31,34,3,moved down,1.006603857766246,1.082083541459507,0.07547968369326097
Maryland,overall_score,34,38,4,moved down,1.016088297437094,1.134990196922362,0.11890189948526797
Ohio,overall_score,5,9,4,moved down,0.6560089754274583,0.607275090671691,-0.04873388475576723
Connecticut,overall_score,7,12,5,moved down,0.6786811313077473,0.6625899252624013,-0.016091206045345974
Missouri,overall_score,9,14,5,moved down,0.6903486469827762,0.6697105386692026,-0.0206381083135736
Vermont,overall_score,38,43,5,moved down,1.103119417390786,1.342072817732619,0.2389534003418332
Maine,overall_score,16,24,8,moved down,0.797249282294701,0.858408900502364,0.061159618207662914
Minnesota,overall_score,11,19,8,moved down,0.7018107568433571,0.8065217238606521,0.10471096701729499
Virginia,overall_score,1,10,9,moved down,0.597866723956457,0.608369758430112,0.01050303447365497
Indiana,overall_score,18,28,10,moved down,0.8287105608365323,0.9187029703155221,0.08999240947898979
Kansas,overall_score,19,31,12,moved down,0.8348134266218049,0.9791584141630237,0.14434498754121883
Massachusetts,overall_score,17,32,15,moved down,0.8286339955697763,0.9877358341168692,0.1591018385470928
